team,p_title_market
Alavés,0.0014873574615765987
Athletic Club,0.0014873574615765987
Atlético Madrid,0.0376797223599405
Barcelona,0.5304908279623202
Real Betis,0.00347050074367873
Celta Vigo,0.0014873574615765987
Espanyol,0.0014873574615765987
Getafe,0.0014873574615765987
Osasuna,0.0014873574615765987
Rayo Vallecano,0.0014873574615765987
Real Madrid,0.4015865146256817
Real Sociedad,0.0014873574615765987
Sevilla,0.0014873574615765987
Valencia,0.0014873574615765987
Villarreal,0.004462072384729796
Levante,0.0014873574615765987
Elche,0.0014873574615765987
Racing Santander,0.0014873574615765987
Deportivo,0.0014873574615765987
Málaga,0.0014873574615765987
