date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-08-17,Barcelona,75.3,35.1,0.5233,0.9687,0.992,0.0,1,market_implied
2026-08-17,Real Madrid,73.4,32.1,0.3943,0.9449,0.9817,0.0,2,market_implied
2026-08-17,Atlético Madrid,61.5,13.7,0.0405,0.5411,0.7364,0.0065,4,market_implied
2026-08-17,Real Betis,55.7,5.1,0.0097,0.2489,0.4521,0.0338,7,market_implied
2026-08-17,Rayo Vallecano,54.8,4.0,0.0078,0.2172,0.402,0.0382,8,market_implied
2026-08-17,Valencia,54.5,3.4,0.0061,0.2025,0.393,0.0456,8,market_implied
2026-08-17,Villarreal,54.4,3.4,0.0067,0.206,0.3891,0.0444,8,market_implied
2026-08-17,Celta Vigo,53.3,1.7,0.0038,0.1645,0.3328,0.0587,9,market_implied
2026-08-17,Getafe,50.7,-2.2,0.002,0.0964,0.2272,0.1042,11,market_implied
2026-08-17,Levante,49.8,-3.6,0.0011,0.0805,0.1843,0.1251,11,market_implied
2026-08-17,Real Sociedad,48.4,-5.6,0.0008,0.0568,0.1455,0.166,12,market_implied
2026-08-17,Alavés,47.3,-7.5,0.0009,0.0439,0.1166,0.2032,13,market_implied
2026-08-17,Elche,47.3,-7.3,0.0005,0.0444,0.114,0.2027,13,market_implied
2026-08-17,Athletic Club,46.7,-8.1,0.0007,0.0354,0.0994,0.2268,13,market_implied
2026-08-17,Málaga,46.0,-9.3,0.0008,0.031,0.0889,0.2521,14,market_implied
2026-08-17,Racing Santander,45.6,-10.0,0.0002,0.0291,0.0792,0.2721,15,market_implied
2026-08-17,Espanyol,45.3,-10.4,0.0002,0.0273,0.0779,0.277,15,market_implied
2026-08-17,Sevilla,45.2,-10.6,0.0002,0.0234,0.0692,0.2835,15,market_implied
2026-08-17,Osasuna,45.1,-10.6,0.0003,0.0242,0.0728,0.2839,15,market_implied
2026-08-17,Deportivo,43.3,-13.4,0.0001,0.0138,0.0459,0.3762,16,market_implied
