date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-08-24,Barcelona,76.4,39.6,0.5628,0.979,0.9951,0.0,1,market_implied
2026-08-24,Real Madrid,73.7,31.1,0.3718,0.9529,0.9841,0.0,2,market_implied
2026-08-24,Atlético Madrid,61.7,14.3,0.0313,0.5512,0.7535,0.0033,4,market_implied
2026-08-24,Real Betis,57.1,5.9,0.0096,0.3038,0.5288,0.0197,6,market_implied
2026-08-24,Villarreal,57.1,8.4,0.0118,0.3049,0.5257,0.0186,6,market_implied
2026-08-24,Valencia,53.7,2.8,0.0035,0.1732,0.3586,0.0482,8,market_implied
2026-08-24,Celta Vigo,53.1,2.0,0.0025,0.1512,0.328,0.0515,9,market_implied
2026-08-24,Alavés,51.3,-0.3,0.0014,0.1084,0.2447,0.084,10,market_implied
2026-08-24,Sevilla,50.6,-4.2,0.001,0.0847,0.2125,0.0936,10,market_implied
2026-08-24,Rayo Vallecano,50.4,-1.0,0.0013,0.0929,0.2129,0.1032,11,market_implied
2026-08-24,Getafe,48.3,-8.2,0.0005,0.0527,0.1414,0.1573,12,market_implied
2026-08-24,Espanyol,48.1,-4.4,0.0006,0.0523,0.136,0.1607,12,market_implied
2026-08-24,Real Sociedad,47.4,-5.9,0.0007,0.0417,0.1169,0.1839,13,market_implied
2026-08-24,Elche,46.3,-11.4,0.0001,0.0296,0.0928,0.2279,14,market_implied
2026-08-24,Levante,45.9,-10.3,0.0002,0.029,0.0866,0.2432,14,market_implied
2026-08-24,Athletic Club,45.1,-10.5,0.0002,0.0223,0.0717,0.2737,15,market_implied
2026-08-24,Osasuna,45.0,-10.7,0.0002,0.0261,0.0721,0.2746,15,market_implied
2026-08-24,Racing Santander,44.4,-10.1,0.0002,0.0208,0.0568,0.2993,15,market_implied
2026-08-24,Málaga,43.1,-13.5,0.0001,0.0139,0.045,0.3708,16,market_implied
2026-08-24,Deportivo,42.7,-13.7,0.0002,0.0094,0.0368,0.3865,16,market_implied
