date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-09-10,Barcelona,81.5,50.5,0.6821,0.9968,0.9995,0.0,1,market_implied
2026-09-10,Real Madrid,76.0,38.0,0.287,0.9751,0.995,0.0,2,market_implied
2026-09-10,Atlético Madrid,63.6,15.7,0.0177,0.6327,0.8342,0.0008,4,market_implied
2026-09-10,Real Betis,61.4,8.4,0.0096,0.5093,0.7499,0.0022,4,market_implied
2026-09-10,Alavés,55.9,5.7,0.0016,0.2252,0.4769,0.0181,7,market_implied
2026-09-10,Villarreal,55.1,7.4,0.0014,0.196,0.4315,0.0227,7,market_implied
2026-09-10,Osasuna,50.7,-5.6,0.0003,0.0745,0.2089,0.0715,10,market_implied
2026-09-10,Rayo Vallecano,50.1,-3.8,0.0002,0.0712,0.1993,0.091,10,market_implied
2026-09-10,Levante,50.1,-2.5,0.0,0.0649,0.1969,0.0836,10,market_implied
2026-09-10,Sevilla,49.4,-5.6,0.0,0.0513,0.1693,0.1,11,market_implied
2026-09-10,Real Sociedad,48.4,-7.7,0.0,0.0393,0.1391,0.1165,12,market_implied
2026-09-10,Deportivo,48.4,-6.5,0.0001,0.046,0.1416,0.1242,12,market_implied
2026-09-10,Athletic Club,47.9,-6.0,0.0,0.0367,0.1261,0.1426,12,market_implied
2026-09-10,Getafe,46.2,-9.9,0.0,0.0231,0.085,0.1967,13,market_implied
2026-09-10,Valencia,45.1,-12.1,0.0,0.017,0.0671,0.2411,14,market_implied
2026-09-10,Racing Santander,44.6,-10.3,0.0,0.0136,0.0547,0.2628,15,market_implied
2026-09-10,Celta Vigo,43.8,-9.9,0.0,0.0104,0.0447,0.2947,15,market_implied
2026-09-10,Espanyol,43.7,-9.8,0.0,0.01,0.0441,0.3034,15,market_implied
2026-09-10,Málaga,41.1,-17.3,0.0,0.0046,0.0214,0.4365,17,market_implied
2026-09-10,Elche,40.2,-18.5,0.0,0.0023,0.0148,0.4916,17,market_implied
